PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Age_is_missing,Name_is_missing,Sex_is_missing,Ticket_is_missing,Cabin_is_missing,Embarked_is_missing
1,0,3,109,2,22.0,1,0,524,7.25,0,3,False,False,False,False,True,False
2,1,1,191,1,38.0,1,0,597,71.2833,82,1,False,False,False,False,False,False
3,1,3,354,1,26.0,0,0,670,7.925,0,3,False,False,False,False,True,False
4,1,1,273,1,35.0,1,0,50,53.1,56,3,False,False,False,False,False,False
5,0,3,16,2,35.0,0,0,473,8.05,0,3,False,False,False,False,True,False
6,0,3,555,2,28.0,0,0,276,8.4583,0,2,True,False,False,False,True,False
7,0,1,516,2,54.0,0,0,86,51.8625,130,3,False,False,False,False,False,False
8,0,3,625,2,2.0,3,1,396,21.075,0,3,False,False,False,False,True,False
9,1,3,413,1,27.0,0,2,345,11.1333,0,3,False,False,False,False,True,False
10,1,2,577,1,14.0,1,0,133,30.0708,0,1,False,False,False,False,True,False
11,1,3,728,1,4.0,1,1,617,16.7,146,3,False,False,False,False,False,False
12,1,1,96,1,58.0,0,0,39,26.55,50,3,False,False,False,False,False,False
13,0,3,730,2,20.0,0,0,536,8.05,0,3,False,False,False,False,True,False
14,0,3,29,2,39.0,1,5,334,31.275,0,3,False,False,False,False,True,False
15,0,3,841,1,14.0,0,0,414,7.8542,0,3,False,False,False,False,True,False
16,1,2,360,1,55.0,0,0,154,16.0,0,3,False,False,False,False,True,False
17,0,3,683,2,2.0,4,1,481,29.125,0,2,False,False,False,False,True,False
18,1,2,868,2,28.0,0,0,152,13.0,0,3,True,False,False,False,True,False
19,0,3,840,1,31.0,1,0,302,18.0,0,3,False,False,False,False,True,False
20,1,3,513,1,28.0,0,0,185,7.225,0,1,True,False,False,False,True,False
21,0,2,274,2,35.0,0,0,140,26.0,0,3,False,False,False,False,True,False
22,1,2,81,2,34.0,0,0,153,13.0,112,3,False,False,False,False,False,False
23,1,3,524,1,15.0,0,0,279,8.0292,0,2,False,False,False,False,True,False
24,1,1,766,2,28.0,0,0,43,35.5,14,3,False,False,False,False,False,False
25,0,3,627,1,8.0,3,1,396,21.075,0,3,False,False,False,False,True,False
26,1,3,45,1,38.0,1,5,330,31.3875,0,3,False,False,False,False,True,False
27,0,3,241,2,28.0,0,0,180,7.225,0,1,True,False,False,False,True,False
28,0,1,261,2,19.0,3,2,96,263.0,64,3,False,False,False,False,False,False
29,1,3,606,1,28.0,0,0,284,7.8792,0,2,True,False,False,False,True,False
30,0,3,814,2,28.0,0,0,363,7.8958,0,3,True,False,False,False,True,False
31,0,1,829,2,40.0,0,0,599,27.7208,0,1,False,False,False,False,True,False
32,1,1,777,1,28.0,1,0,587,146.5208,42,1,True,False,False,False,False,False
33,1,3,290,1,28.0,0,0,289,7.75,0,2,True,False,False,False,True,False
34,0,2,857,2,66.0,0,0,550,10.5,0,3,False,False,False,False,True,False
35,0,1,536,2,28.0,1,0,601,82.1708,0,1,False,False,False,False,True,False
36,0,1,373,2,42.0,1,0,44,52.0,0,3,False,False,False,False,True,False
37,1,3,506,2,28.0,0,0,203,7.2292,0,1,True,False,False,False,True,False
38,0,3,135,2,21.0,0,0,515,8.05,0,3,False,False,False,False,True,False
39,0,3,838,1,18.0,2,0,303,18.0,0,3,False,False,False,False,True,False
40,1,3,590,1,14.0,1,0,187,11.2417,0,1,False,False,False,False,True,False
41,0,3,8,1,40.0,1,0,508,9.475,0,3,False,False,False,False,True,False
42,0,2,828,1,27.0,1,0,54,21.0,0,3,False,False,False,False,True,False
43,0,3,447,2,28.0,0,0,392,7.8958,0,1,True,False,False,False,True,False
44,1,2,457,1,3.0,1,2,635,41.5792,0,1,False,False,False,False,True,False
45,1,3,213,1,19.0,0,0,283,7.8792,0,2,False,False,False,False,True,False
46,0,3,698,2,28.0,0,0,618,8.05,0,3,True,False,False,False,True,False
47,0,3,474,2,28.0,1,0,463,15.5,0,2,True,False,False,False,True,False
48,1,3,605,1,28.0,0,0,77,7.75,0,2,True,False,False,False,True,False
49,0,3,727,2,28.0,2,0,191,21.6792,0,1,True,False,False,False,True,False
50,0,3,39,1,18.0,1,0,378,17.8,0,3,False,False,False,False,True,False
51,0,3,630,2,7.0,4,1,250,39.6875,0,3,False,False,False,False,True,False
52,0,3,595,2,21.0,0,0,523,7.8,0,3,False,False,False,False,True,False
53,1,1,334,1,49.0,1,0,588,76.7292,102,1,False,False,False,False,False,False
54,1,2,247,1,29.0,1,0,240,26.0,0,3,False,False,False,False,True,False
55,0,1,621,2,65.0,0,1,30,61.9792,24,1,False,False,False,False,False,False
56,1,1,874,2,28.0,0,0,95,35.5,72,3,True,False,False,False,False,False
57,1,2,708,1,21.0,0,0,556,10.5,0,3,False,False,False,False,True,False
58,0,3,596,2,28.5,0,0,216,7.2292,0,1,False,False,False,False,True,False
59,1,2,854,1,5.0,1,2,562,27.75,0,3,False,False,False,False,True,False
60,0,3,300,2,11.0,5,2,567,46.9,0,3,False,False,False,False,True,False
61,0,3,750,2,22.0,0,0,198,7.2292,0,1,False,False,False,False,True,False
62,1,1,386,1,38.0,0,0,33,80.0,22,0,False,False,False,False,False,True
63,0,1,338,2,45.0,1,0,458,83.475,81,3,False,False,False,False,False,False
64,0,3,756,2,4.0,3,2,338,27.9,0,3,False,False,False,False,True,False
65,0,1,785,2,28.0,0,0,602,27.7208,0,1,True,False,False,False,True,False
66,1,3,561,2,28.0,1,1,190,15.2458,0,1,True,False,False,False,True,False
67,1,2,597,1,29.0,0,0,554,10.5,143,3,False,False,False,False,False,False
68,0,3,186,2,19.0,0,0,624,8.1583,0,3,False,False,False,False,True,False
69,1,3,26,1,17.0,4,2,249,7.925,0,3,False,False,False,False,True,False
70,0,3,441,2,26.0,2,0,271,8.6625,0,3,False,False,False,False,True,False
71,0,2,397,2,32.0,0,0,558,10.5,0,3,False,False,False,False,True,False
72,0,3,301,1,16.0,5,2,567,46.9,0,3,False,False,False,False,True,False
73,0,2,377,2,21.0,0,0,622,73.5,0,3,False,False,False,False,True,False
74,0,3,162,2,26.0,1,0,205,14.4542,0,1,False,False,False,False,True,False
75,1,3,88,2,32.0,0,0,81,56.4958,0,3,False,False,False,False,True,False
76,0,3,547,2,25.0,0,0,348,7.65,141,3,False,False,False,False,False,False
77,0,3,779,2,28.0,0,0,356,7.8958,0,3,True,False,False,False,True,False
78,0,3,564,2,28.0,0,0,474,8.05,0,3,True,False,False,False,True,False
79,1,2,128,2,0.83,0,2,159,29.0,0,3,False,False,False,False,True,False
80,1,3,224,1,30.0,0,0,433,12.475,0,3,False,False,False,False,True,False
81,0,3,843,2,22.0,0,0,305,9.0,0,3,False,False,False,False,True,False
82,1,3,738,2,29.0,0,0,312,9.5,0,3,False,False,False,False,True,False
83,1,3,520,1,28.0,0,0,281,7.7875,0,2,True,False,False,False,True,False
84,0,1,142,2,28.0,0,0,26,47.1,0,3,False,False,False,False,True,False
85,1,2,387,1,17.0,0,0,638,10.5,0,3,False,False,False,False,True,False
86,1,3,53,1,33.0,3,0,248,15.85,0,3,False,False,False,False,True,False
87,0,3,256,2,16.0,1,3,677,34.375,0,3,False,False,False,False,True,False
88,0,3,765,2,28.0,0,0,653,8.05,0,3,True,False,False,False,True,False
89,1,1,260,1,23.0,3,2,96,263.0,64,3,False,False,False,False,False,False
90,0,3,150,2,24.0,0,0,298,8.05,0,3,False,False,False,False,True,False
91,0,3,160,2,29.0,0,0,299,8.05,0,3,False,False,False,False,True,False
92,0,3,32,2,20.0,0,0,342,7.8542,0,3,False,False,False,False,True,False
93,0,1,151,2,46.0,1,0,679,61.175,123,3,False,False,False,False,False,False
94,0,3,210,2,26.0,1,2,549,20.575,0,3,False,False,False,False,True,False
95,0,3,185,2,59.0,0,0,429,7.25,0,3,False,False,False,False,True,False
96,0,3,741,2,28.0,0,0,476,8.05,0,3,True,False,False,False,True,False
97,0,1,293,2,71.0,0,0,608,34.6542,13,1,False,False,False,False,False,False
98,1,1,309,2,23.0,0,1,613,63.3583,92,1,False,False,False,False,False,False
99,1,2,220,1,34.0,0,1,118,23.0,0,3,False,False,False,False,True,False
100,0,2,423,2,34.0,1,0,151,26.0,0,3,False,False,False,False,True,False
101,0,3,657,1,28.0,0,0,385,7.8958,0,3,False,False,False,False,True,False
102,0,3,659,2,28.0,0,0,362,7.8958,0,3,True,False,False,False,True,False
103,0,1,859,2,21.0,0,1,418,77.2875,99,3,False,False,False,False,False,False
104,0,3,406,2,33.0,0,0,506,8.6542,0,3,False,False,False,False,True,False
105,0,3,313,2,37.0,2,0,246,7.925,0,3,False,False,False,False,True,False
106,0,3,543,2,28.0,0,0,355,7.8958,0,3,False,False,False,False,True,False
107,1,3,725,1,21.0,0,0,297,7.65,0,3,False,False,False,False,True,False
108,1,3,560,2,28.0,0,0,255,7.775,0,3,True,False,False,False,True,False
109,0,3,676,2,38.0,0,0,389,7.8958,0,3,False,False,False,False,True,False
110,1,3,553,1,28.0,1,0,470,24.15,0,2,True,False,False,False,True,False
111,0,1,668,2,47.0,0,0,3,52.0,53,3,False,False,False,False,False,False
112,0,3,883,1,14.5,1,0,194,14.4542,0,1,False,False,False,False,True,False
113,0,3,68,2,22.0,0,0,275,8.05,0,3,False,False,False,False,True,False
114,0,3,418,1,20.0,1,0,492,9.825,0,3,False,False,False,False,True,False
115,0,3,47,1,17.0,0,0,177,14.4583,0,1,False,False,False,False,True,False
116,0,3,646,2,21.0,0,0,667,7.925,0,3,False,False,False,False,True,False
117,0,3,179,2,70.5,0,0,461,7.75,0,2,False,False,False,False,True,False
118,0,2,827,2,29.0,1,0,54,21.0,0,3,False,False,False,False,True,False
119,0,1,71,2,24.0,0,1,586,247.5208,37,1,False,False,False,False,False,False
120,0,3,25,1,2.0,4,2,334,31.275,0,3,False,False,False,False,True,False
121,0,2,363,2,21.0,2,0,622,73.5,0,3,False,False,False,False,True,False
122,0,3,552,2,28.0,0,0,541,8.05,0,3,True,False,False,False,True,False
123,0,2,576,2,32.5,1,0,133,30.0708,0,1,False,False,False,False,True,False
124,1,2,849,1,32.5,0,0,220,13.0,117,3,False,False,False,False,False,False
125,0,1,858,2,54.0,0,1,418,77.2875,99,3,False,False,False,False,False,False
126,1,3,589,2,12.0,1,0,187,11.2417,0,1,False,False,False,False,True,False
127,0,3,526,2,28.0,0,0,464,7.75,0,2,True,False,False,False,True,False
128,1,3,500,2,24.0,0,0,542,7.1417,0,3,False,False,False,False,True,False
129,1,3,654,1,28.0,1,1,197,22.3583,139,1,True,False,False,False,False,False
130,0,3,235,2,45.0,0,0,319,6.975,0,3,False,False,False,False,True,False
131,0,3,226,2,33.0,0,0,381,7.8958,0,1,False,False,False,False,True,False
132,0,3,166,2,20.0,0,0,641,7.05,0,3,False,False,False,False,True,False
133,0,3,696,1,47.0,1,0,538,14.5,0,3,False,False,False,False,True,False
134,1,2,852,1,29.0,1,0,112,26.0,0,3,False,False,False,False,True,False
135,0,2,773,2,25.0,0,0,553,13.0,0,3,False,False,False,False,True,False
136,0,2,686,2,23.0,0,0,631,15.0458,0,1,False,False,False,False,True,False
137,1,1,586,1,19.0,0,2,56,26.2833,108,3,False,False,False,False,False,False
138,0,1,272,2,37.0,1,0,50,53.1,56,3,False,False,False,False,False,False
139,0,3,619,2,16.0,0,0,505,9.2167,0,3,False,False,False,False,True,False
140,0,1,283,2,24.0,0,0,593,79.2,46,1,False,False,False,False,False,False
141,0,3,100,1,28.0,0,2,204,15.2458,0,1,True,False,False,False,True,False
142,1,3,598,1,22.0,0,0,333,7.75,0,3,False,False,False,False,True,False
143,1,3,320,1,24.0,1,0,669,15.85,0,3,False,False,False,False,True,False
144,0,3,117,2,19.0,0,0,439,6.75,0,2,False,False,False,False,True,False
145,0,2,33,2,18.0,0,0,119,11.5,0,3,False,False,False,False,True,False
146,0,2,587,2,19.0,1,1,559,36.75,0,3,False,False,False,False,True,False
147,1,3,30,2,27.0,0,0,406,7.7958,0,3,False,False,False,False,True,False
148,0,3,255,1,9.0,2,2,677,34.375,0,3,False,False,False,False,True,False
149,0,2,581,2,36.5,0,2,114,26.0,142,3,False,False,False,False,False,False
150,0,2,122,2,42.0,0,0,148,13.0,0,3,False,False,False,False,True,False
151,0,2,69,2,51.0,0,0,623,12.525,0,3,False,False,False,False,True,False
152,1,1,644,1,22.0,1,0,37,66.6,62,3,False,False,False,False,False,False
153,0,3,533,2,55.5,0,0,517,8.05,0,3,False,False,False,False,True,False
154,0,3,890,2,40.5,0,2,539,14.5,0,3,False,False,False,False,True,False
155,0,3,613,2,28.0,0,0,574,7.3125,0,3,True,False,False,False,True,False
156,0,1,867,2,51.0,0,1,596,61.3792,0,1,False,False,False,False,True,False
157,1,3,288,1,16.0,0,0,419,7.7333,0,2,False,False,False,False,True,False
158,0,3,182,2,30.0,0,0,655,8.05,0,3,False,False,False,False,True,False
159,0,3,768,2,28.0,0,0,259,8.6625,0,3,True,False,False,False,True,False
160,0,3,717,2,28.0,8,2,569,69.55,0,3,True,False,False,False,True,False
161,0,3,187,2,44.0,0,1,471,16.1,0,3,False,False,False,False,True,False
162,1,2,848,1,40.0,0,0,560,15.75,0,3,False,False,False,False,True,False
163,0,3,83,2,26.0,0,0,324,7.775,0,3,False,False,False,False,True,False
164,0,3,130,2,17.0,0,0,266,8.6625,0,3,False,False,False,False,True,False
165,0,3,629,2,1.0,4,1,250,39.6875,0,3,False,False,False,False,True,False
166,1,3,294,2,9.0,0,2,424,20.525,0,3,False,False,False,False,True,False
167,1,1,158,1,28.0,0,1,29,55.0,124,3,True,False,False,False,False,False
168,0,3,761,1,45.0,1,4,338,27.9,0,3,False,False,False,False,True,False
169,0,1,70,2,28.0,0,0,577,25.925,0,3,True,False,False,False,True,False
170,0,3,487,2,28.0,0,0,81,56.4958,0,3,False,False,False,False,True,False
171,0,1,833,2,61.0,0,0,6,33.5,19,3,False,False,False,False,False,False
172,0,3,681,2,4.0,4,1,481,29.125,0,2,False,False,False,False,True,False
173,1,3,409,1,1.0,1,1,345,11.1333,0,3,False,False,False,False,True,False
174,0,3,753,2,21.0,0,0,660,7.925,0,3,False,False,False,False,True,False
175,0,1,770,2,56.0,0,0,91,30.6958,15,1,False,False,False,False,False,False
176,0,3,445,2,18.0,1,1,413,7.8542,0,3,False,False,False,False,True,False
177,0,3,465,2,28.0,3,1,489,25.4667,0,3,True,False,False,False,True,False
178,0,1,389,1,50.0,0,0,594,28.7125,70,1,False,False,False,False,False,False
179,0,2,321,2,30.0,0,0,170,13.0,0,3,False,False,False,False,True,False
180,0,3,475,2,36.0,0,0,575,0.0,0,3,False,False,False,False,True,False
181,0,3,718,1,28.0,8,2,569,69.55,0,3,True,False,False,False,True,False
182,0,2,651,2,28.0,0,0,630,15.05,0,1,True,False,False,False,True,False
183,0,3,42,2,9.0,4,2,330,31.3875,0,3,False,False,False,False,True,False
184,1,2,77,2,1.0,2,1,115,39.0,145,3,False,False,False,False,False,False
185,1,3,442,1,4.0,0,2,272,22.025,0,3,False,False,False,False,True,False
186,0,1,701,2,28.0,0,0,35,50.0,10,3,True,False,False,False,False,False
187,1,3,602,1,28.0,1,0,460,15.5,0,2,True,False,False,False,True,False
188,1,1,699,2,45.0,0,0,12,26.55,0,3,False,False,False,False,True,False
189,0,3,102,2,40.0,1,1,436,15.5,0,2,False,False,False,False,True,False
190,0,3,824,2,36.0,0,0,387,7.8958,0,3,False,False,False,False,True,False
191,1,2,665,1,32.0,0,0,123,13.0,0,3,False,False,False,False,True,False
192,0,2,137,2,19.0,0,0,228,13.0,0,3,False,False,False,False,True,False
193,1,3,21,1,19.0,1,0,407,7.8542,0,3,False,False,False,False,True,False
194,1,2,580,2,3.0,1,1,114,26.0,142,3,False,False,False,False,False,False
195,1,1,114,1,44.0,0,0,605,27.7208,29,1,False,False,False,False,False,False
196,1,1,496,1,58.0,0,0,587,146.5208,44,1,False,False,False,False,False,False
197,0,3,534,2,28.0,0,0,453,7.75,0,2,True,False,False,False,True,False
198,0,3,612,2,42.0,0,1,495,8.4042,0,3,False,False,False,False,True,False
199,1,3,498,1,28.0,0,0,462,7.75,0,2,True,False,False,False,True,False
200,0,2,882,1,24.0,0,0,161,13.0,0,3,False,False,False,False,True,False
201,0,3,835,2,28.0,0,0,307,9.5,0,3,False,False,False,False,True,False
202,0,3,722,2,28.0,8,2,569,69.55,0,3,True,False,False,False,True,False
203,0,3,404,2,34.0,0,0,243,6.4958,0,3,False,False,False,False,True,False
204,0,3,879,2,45.5,0,0,178,7.225,0,1,False,False,False,False,True,False
205,1,3,167,2,18.0,0,0,531,8.05,0,3,False,False,False,False,True,False
206,0,3,790,1,2.0,0,1,317,10.4625,146,3,False,False,False,False,False,False
207,0,3,52,2,32.0,1,0,248,15.85,0,3,False,False,False,False,True,False
208,1,3,10,2,26.0,0,0,217,18.7875,0,1,False,False,False,False,True,False
209,1,3,141,1,16.0,0,0,446,7.75,0,2,False,False,False,False,True,False
210,1,1,95,2,40.0,0,0,18,31.0,9,1,False,False,False,False,False,False
211,0,3,13,2,24.0,0,0,643,7.05,0,3,False,False,False,False,True,False
212,1,2,132,1,35.0,0,0,571,21.0,0,3,False,False,False,False,True,False
213,0,3,650,2,22.0,0,0,527,7.25,0,3,False,False,False,False,True,False
214,0,2,289,2,30.0,0,0,164,13.0,0,3,False,False,False,False,True,False
215,0,3,438,2,28.0,1,0,444,7.75,0,2,True,False,False,False,True,False
216,1,1,583,1,31.0,1,0,417,113.275,104,1,False,False,False,False,False,False
217,1,3,376,1,27.0,0,0,671,7.925,0,3,False,False,False,False,True,False
218,0,2,391,2,42.0,1,0,143,27.0,0,3,False,False,False,False,True,False
219,1,1,73,1,32.0,0,0,64,76.2917,94,1,False,False,False,False,False,False
220,0,2,339,2,30.0,0,0,680,10.5,0,3,False,False,False,False,True,False
221,1,3,792,2,16.0,0,0,654,8.05,0,3,False,False,False,False,True,False
222,0,2,106,2,27.0,0,0,106,13.0,0,3,False,False,False,False,True,False
223,0,3,307,2,51.0,0,0,103,8.05,0,3,False,False,False,False,True,False
224,0,3,582,2,28.0,0,0,376,7.8958,0,3,True,False,False,False,True,False
225,1,1,380,2,38.0,1,0,94,90.0,88,3,False,False,False,False,False,False
226,0,3,84,2,22.0,0,0,616,9.35,0,3,False,False,False,False,True,False
227,1,2,532,2,19.0,0,0,673,10.5,0,3,False,False,False,False,True,False
228,0,3,493,2,20.5,0,0,526,7.25,0,3,False,False,False,False,True,False
229,0,2,244,2,18.0,0,0,126,13.0,0,3,False,False,False,False,True,False
230,0,3,468,1,28.0,3,1,489,25.4667,0,3,True,False,False,False,True,False
231,1,1,340,1,35.0,1,0,458,83.475,81,3,False,False,False,False,False,False
232,0,3,461,2,29.0,0,0,323,7.775,0,3,False,False,False,False,True,False
233,0,2,755,2,59.0,0,0,129,13.5,0,3,False,False,False,False,True,False
234,1,3,44,1,5.0,4,2,330,31.3875,0,3,False,False,False,False,True,False
235,0,2,480,2,24.0,0,0,555,10.5,0,3,False,False,False,False,True,False
236,0,3,330,1,28.0,0,0,678,7.55,0,3,True,False,False,False,True,False
237,0,2,371,2,44.0,1,0,199,26.0,0,3,False,False,False,False,True,False
238,1,2,173,1,8.0,0,2,557,26.25,0,3,False,False,False,False,True,False
239,0,2,649,2,19.0,0,0,232,10.5,0,3,False,False,False,False,True,False
240,0,2,384,2,33.0,0,0,637,12.275,0,3,False,False,False,False,True,False
241,0,3,884,1,28.0,1,0,194,14.4542,0,1,True,False,False,False,True,False
242,1,3,568,1,28.0,1,0,445,15.5,0,2,True,False,False,False,True,False
243,0,2,170,2,29.0,0,0,675,10.5,0,3,False,False,False,False,True,False
244,0,3,501,2,22.0,0,0,659,7.125,0,3,False,False,False,False,True,False
245,0,3,48,2,30.0,0,0,214,7.225,0,1,False,False,False,False,True,False
246,0,1,540,2,44.0,2,0,93,90.0,79,2,False,False,False,False,False,False
247,0,3,482,1,25.0,0,0,326,7.775,0,3,False,False,False,False,True,False
248,1,2,323,1,24.0,0,2,167,14.5,0,3,False,False,False,False,True,False
249,1,1,79,2,37.0,1,1,55,52.5542,103,3,False,False,False,False,False,False
250,0,2,148,2,54.0,1,0,145,26.0,0,3,False,False,False,False,True,False
251,0,3,674,2,28.0,0,0,423,7.25,0,3,True,False,False,False,True,False
252,0,3,791,1,29.0,1,1,317,10.4625,146,3,False,False,False,False,False,False
253,0,1,783,2,62.0,0,0,32,26.55,84,3,False,False,False,False,False,False
254,0,3,488,2,30.0,1,0,537,16.1,0,3,False,False,False,False,True,False
255,0,3,703,1,41.0,0,2,459,20.2125,0,3,False,False,False,False,True,False
256,1,3,820,1,29.0,0,2,186,15.2458,0,1,False,False,False,False,True,False
257,1,1,809,1,28.0,0,0,590,79.2,0,1,True,False,False,False,True,False
258,1,1,157,1,30.0,0,0,1,86.5,41,3,False,False,False,False,False,False
259,1,1,845,1,35.0,0,0,609,512.3292,0,1,False,False,False,False,True,False
260,1,2,637,1,50.0,0,1,116,26.0,0,3,False,False,False,False,True,False
261,0,3,772,2,28.0,0,0,483,7.75,0,2,True,False,False,False,True,False
262,1,3,43,2,3.0,4,2,330,31.3875,0,3,False,False,False,False,True,False
263,0,1,800,2,52.0,1,1,2,79.65,135,3,False,False,False,False,False,False
264,0,1,341,2,40.0,0,0,17,0.0,47,3,False,False,False,False,False,False
265,0,3,357,1,28.0,0,0,479,7.75,0,2,True,False,False,False,True,False
266,0,2,675,2,36.0,0,0,547,10.5,0,3,False,False,False,False,True,False
267,0,3,632,2,16.0,4,1,250,39.6875,0,3,False,False,False,False,True,False
268,1,3,653,2,25.0,1,0,335,7.775,0,3,False,False,False,False,True,False
269,1,1,306,1,58.0,0,1,589,153.4625,58,3,False,False,False,False,False,False
270,1,1,92,1,35.0,0,0,614,135.6333,90,3,False,False,False,False,False,False
271,0,1,126,2,28.0,0,0,48,31.0,0,3,True,False,False,False,True,False
272,1,3,818,2,25.0,0,0,575,0.0,0,3,False,False,False,False,True,False
273,1,2,531,1,41.0,0,1,163,19.5,0,3,False,False,False,False,True,False
274,0,1,578,2,37.0,0,1,595,29.7,55,1,False,False,False,False,False,False
275,1,3,351,1,28.0,0,0,466,7.75,0,2,True,False,False,False,True,False
276,1,1,34,1,63.0,1,0,72,77.9583,114,3,False,False,False,False,False,False
277,0,3,483,1,45.0,0,0,327,7.75,0,3,False,False,False,False,True,False
278,0,2,635,2,28.0,0,0,136,0.0,0,3,True,False,False,False,True,False
279,0,3,682,2,7.0,4,1,481,29.125,0,2,False,False,False,False,True,False
280,1,3,3,1,35.0,1,1,552,20.25,0,3,False,False,False,False,True,False
281,0,3,228,2,65.0,0,0,291,7.75,0,2,False,False,False,False,True,False
282,0,3,615,2,28.0,0,0,341,7.8542,0,3,False,False,False,False,True,False
283,0,3,888,2,16.0,0,0,311,9.5,0,3,False,False,False,False,True,False
284,1,3,222,2,19.0,0,0,534,8.05,0,3,False,False,False,False,True,False
285,0,1,771,2,28.0,0,0,25,26.0,4,3,True,False,False,False,False,False
286,0,3,780,2,33.0,0,0,379,8.6625,0,1,False,False,False,False,True,False
287,1,3,887,2,30.0,0,0,309,9.5,0,3,False,False,False,False,True,False
288,0,3,571,2,22.0,0,0,354,7.8958,0,3,False,False,False,False,True,False
289,1,2,379,2,42.0,0,0,135,13.0,0,3,False,False,False,False,True,False
290,1,3,178,1,22.0,0,0,465,7.75,0,2,False,False,False,False,True,False
291,1,1,66,1,26.0,0,0,92,78.85,0,3,False,False,False,False,True,False
292,1,1,91,1,19.0,1,0,65,91.0792,32,1,False,False,False,False,False,False
293,0,2,478,2,36.0,0,0,636,12.875,91,1,False,False,False,False,False,False
294,0,3,316,1,24.0,0,0,377,8.85,0,3,False,False,False,False,True,False
295,0,3,542,2,24.0,0,0,375,7.8958,0,3,False,False,False,False,True,False
296,0,1,479,2,28.0,0,0,607,27.7208,0,1,True,False,False,False,True,False
